rrrr pppp 21214 2186 1367
rrrr rppp 2204 505 381
rrrr sppp 1885 486 333
prsp sprs 1748 943 632
srps rpsr 1748 567 825
pppp ssss 1697 920 15332
pppr ssss 1392 646 587
rrrr prpp 1209 280 200
rrrr pspp 1134 249 264
prsp srrs 1079 654 381
psrp srps 883 2289 590
rpsp psrs 877 224 245
rpsp psrp 862 503 430
srps ppsr 781 377 624
pprr sssp 771 661 389
rrrp pppp 705 765 887
rsps prsp 684 446 386
rrrr pprp 668 97 59
rsps rrsp 658 381 290
rrrr rrpp 656 282 189
rrrs pppp 644 1803 772
psrp spps 642 979 329
rrss pppr 627 646 812
sprr rspr 611 327 442
rpsp prrs 603 316 242
rspr prsp 584 1139 782
prsp pprs 578 397 351
sssp rrrr 560 585 1162
rprs psrr 547 333 1008
rrrr ppsp 541 52 44
prps sprr 535 267 744
sppp rsps 525 294 607
prsp prrs 509 324 215
ssss rrrr 508 9927 1455
psrr srps 504 286 456
srsp ppss 502 563 190
prrr sprp 497 344 286
rrrr pppr 491 37 27
rsrp rrss 487 356 167
sspp rrrs 475 277 559
srps rssp 472 179 216
rspr rrsp 469 846 678
srps rssr 469 107 243
rprp psps 468 61 33
rprr psrr 464 348 223
rsps pssp 462 304 216
ppps ssss 454 679 422
pppp psss 443 259 1638
sprp rspr 441 802 475
spps rsps 436 284 283
prrr srrp 434 382 277
spss rspp 431 542 272
rpsr psrp 424 404 2018
rrrr ppps 424 24 17
rsrp prss 423 323 173
prsp rrrs 422 300 232
rrsp pppr 420 488 332
srpr rpsr 416 710 328
rrrr rspp 412 105 120
sprs rspr 409 372 1519
spsp rspp 408 385 218
sppr rsps 403 442 296
rssp pprs 401 332 302
spsr rspp 400 618 918
sssr rrrr 398 168 340
psps srpp 397 252 274
pppr spss 395 300 182
rprs sspr 393 350 684
rsrp psss 388 364 125
prsp ppss 383 265 142
prrr sspp 381 257 112
srrp rssp 380 289 210
rpsp rrrs 379 175 146
rprp psrr 374 371 225
rsps pssr 367 142 155
psrp rrss 362 431 165
psss sppr 361 286 335
srps sssp 360 178 202
prsp psrs 350 226 203
pprs sssp 343 270 387
rssp rrss 341 222 341
psrs spps 337 303 666
srpp rpsr 337 301 406
rspp prsp 333 329 489
pprp sssp 332 214 261
pppp spss 325 168 1078
prsp ssps 324 231 180
pppr psss 323 288 181
pppp rsss 323 225 1319
prsp spss 320 184 92
rrrr spsp 320 69 49
srps spsr 317 214 289
ssrr rrrp 317 75 172
sssp srrr 316 230 312
psrp prps 315 586 248
sspp srrs 312 166 203
rrrr srpp 312 97 55
prsr srrs 311 222 519
srsp rpss 309 305 149
srrr rpsp 309 129 244
pspr rrsp 307 327 599
rsps pprr 306 178 337
prsp rsrs 304 166 186
rrsr pppr 302 378 270
rspp rrsp 302 271 327
psrp ppps 299 449 174
rpss psrp 294 453 481
prsr sprs 294 331 576
srrr rrpp 288 69 134
pspr srpp 284 520 700
ssrp rsss 284 137 150
psrs srps 283 265 497
prss sprs 281 460 459
srrr rssp 281 268 446
srpr ppsr 280 634 266
rprp rrrs 279 225 110
psps rrsp 278 207 183
rrrr sspp 275 80 76
prps ppsr 274 211 489
prrp sprp 271 324 182
rrrp rppp 271 246 238
rsrp rpss 271 215 209
rsrp rsss 271 158 115
rprr sspr 270 283 164
prrs srrp 269 286 371
rsps spsp 268 115 119
sspp rsss 267 176 271
rsrp srss 267 157 124
srpr rssp 265 651 284
srpr sssp 264 502 288
srrp rpsp 263 181 203
pppr rsss 260 266 140
sspr rsss 260 173 169
rpsp sspp 258 166 120
rsrr rrss 257 159 229
rssr pprs 257 115 136
rsrs psss 257 99 193
rrrr sprp 255 64 47
rsps srsp 254 136 107
psrr spps 253 232 332
rrrp sppp 251 217 228
pssp srpr 251 168 119
rrpr ppps 250 244 151
rssp prss 249 252 225
srps pssp 249 109 106
sppr rrsp 247 280 162
rpsp ppss 247 222 123
rrsp rrps 246 256 158
rpsp ssrp 243 109 112
pppp ppss 243 107 532
srps srsr 242 130 157
pspp srpp 241 190 368
sprr rsps 240 114 207
pssr sppr 239 259 290
rsps rssp 239 140 112
prrs sprp 238 242 354
rprs prrr 237 111 333
psps sppp 237 111 274
psrp rpps 236 339 161
sssp rssr 236 203 248
prsp rprs 236 171 172
rspr srsp 234 283 228
prrp srrp 234 195 132
rrsp spps 233 229 117
sssp ssrr 233 159 297
sprp rrsr 232 265 122
rspr pprr 230 294 200
rrps ppps 230 230 254
rpps ppsr 229 190 100
rsrr prss 229 159 186
srsp rsss 228 161 73
rsps rpsr 227 169 109
ppss sssr 226 364 182
rssp spss 226 168 187
sspr rrrs 225 265 259
rpsp pprs 225 108 115
rsrs prpr 225 47 67
srrp ppss 224 259 316
rrrr rrrp 223 134 95
rprp prrr 220 195 128
rsps spsr 220 119 98
rsrp spss 218 221 121
sppp rpps 218 147 237
