player computer r s p
p p 1239 1343 1530
p r 1176 1424 1347
p s 1330 1263 1611
pp pp 15 11 56
pp pr 23 29 39
pp ps 301 279 715
pp rp 28 16 28
pp rr 102 108 231
pp rs 166 171 456
pp sp 24 14 45
pp sr 19 23 41
pp ss 221 259 927
ppp ppp 1 0 1
ppp ppr 0 1 1
ppp pps 11 11 28
ppp prp 2 0 3
ppp prr 1 0 8
ppp prs 6 5 14
ppp psp 4 0 2
ppp psr 3 6 10
ppp pss 140 97 440
ppp rpp 1 1 8
ppp rpr 1 0 0
ppp rps 0 3 13
ppp rrp 4 4 1
ppp rrr 1 0 6
ppp rrs 40 41 127
ppp rsp 1 0 5
ppp rsr 3 4 6
ppp rss 86 65 279
ppp spp 0 1 3
ppp spr 0 1 0
ppp sps 5 5 28
ppp srp 1 0 3
ppp srr 0 0 2
ppp srs 4 1 27
ppp ssp 4 5 15
ppp ssr 4 4 8
ppp sss 194 179 473
pppp ppps 1 0 0
pppp pprr 0 0 1
pppp ppsp 3 0 5
pppp ppsr 1 0 0
pppp ppss 6 2 11
pppp prpp 0 1 1
pppp prrr 0 0 1
pppp prrs 0 0 7
pppp prsr 0 0 2
pppp prss 1 2 8
pppp psps 0 1 1
pppp psrp 1 0 1
pppp psrr 0 0 1
pppp psrs 1 0 5
pppp pssp 0 0 7
pppp pssr 4 0 9
pppp psss 95 61 249
pppp rppr 0 0 1
pppp rpps 1 2 4
pppp rpsr 0 0 1
pppp rpss 1 0 11
pppp rrpp 0 0 1
pppp rrrp 1 0 1
pppp rrrs 1 1 2
pppp rrsp 0 2 2
pppp rrsr 0 1 0
pppp rrss 13 13 92
pppp rspp 0 0 1
pppp rsps 2 0 2
pppp rsrp 1 1 0
pppp rsrs 0 0 4
pppp rssp 2 2 14
pppp rssr 0 0 4
pppp rsss 66 39 151
pppp sppr 1 0 0
pppp spps 0 0 2
pppp spsp 0 1 1
pppp spsr 0 0 1
pppp spss 5 2 18
pppp srpr 0 0 1
pppp srps 0 0 2
pppp srrs 0 0 2
pppp srsp 0 0 1
pppp srsr 0 0 1
pppp srss 2 4 17
pppp sspr 0 0 2
pppp ssps 2 1 10
pppp ssrp 0 0 1
pppp ssrr 1 0 1
pppp ssrs 1 1 3
pppp sssp 4 5 11
pppp sssr 1 3 2
pppp ssss 93 64 280
ppppp pprrs 0 1 0
ppppp ppspp 1 0 2
ppppp ppsps 0 0 2
ppppp ppssp 1 1 4
ppppp ppsss 0 0 5
ppppp prppr 0 0 1
ppppp prrrs 0 0 1
ppppp prrsp 0 0 1
ppppp prrss 0 0 6
ppppp prsrp 0 0 1
ppppp prsrs 0 0 1
ppppp prsss 0 0 8
ppppp pspss 0 0 1
ppppp psrpp 0 0 1
ppppp psrrp 0 0 1
ppppp psrss 1 0 4
ppppp psspp 0 0 1
ppppp pssps 0 0 6
ppppp pssrr 1 0 0
ppppp pssrs 0 0 8
ppppp psssp 1 1 4
ppppp psssr 0 0 1
ppppp pssss 50 30 154
ppppp rpprr 0 0 1
ppppp rppsr 0 1 0
ppppp rppss 0 0 3
ppppp rpsrs 0 0 1
ppppp rpssp 0 0 3
ppppp rpsss 2 0 6
ppppp rrrps 0 1 0
ppppp rrrsp 0 0 1
ppppp rrrss 0 1 0
ppppp rrspr 0 1 1
ppppp rrssp 0 0 2
ppppp rrssr 0 1 1
ppppp rrsss 19 15 52
ppppp rsppp 0 0 1
ppppp rspsp 1 1 0
ppppp rsrss 0 3 1
ppppp rsspp 0 0 5
ppppp rsspr 0 0 5
ppppp rssps 0 2 2
ppppp rssrp 0 0 1
ppppp rssrr 0 0 1
ppppp rssrs 0 0 2
ppppp rsssp 0 0 4
ppppp rssss 29 28 89
ppppp sppss 1 0 1
ppppp spspr 0 0 1
ppppp spsrr 0 0 1
ppppp spssp 1 0 1
ppppp spsss 5 4 7
ppppp srprs 0 0 1
ppppp srpsp 0 0 1
ppppp srpss 0 0 1
ppppp srrsp 0 0 1
ppppp srrss 0 0 1
ppppp srspr 1 0 0
ppppp srsrr 0 0 1
ppppp srssr 0 1 1
ppppp srsss 3 4 8
ppppp ssprs 0 0 2
ppppp sspsp 0 0 2
ppppp sspss 0 0 7
ppppp ssrpr 0 0 1
ppppp ssrrp 0 0 1
ppppp ssrsp 0 0 1
ppppp ssrss 0 0 2
ppppp ssspp 1 0 2
ppppp sssps 0 1 6
ppppp sssrp 0 0 1
ppppp sssrr 0 0 1
ppppp ssssp 0 1 5
ppppp ssssr 0 1 5
ppppp sssss 48 29 184
ppppr pppsp 0 0 1
ppppr ppsps 2 0 0
ppppr ppsrs 0 1 0
ppppr ppssp 1 1 1
ppppr ppsss 1 2 0
ppppr prsss 0 1 0
ppppr psrps 0 0 1
ppppr psrss 0 0 1
ppppr pssrs 1 3 0
ppppr psssp 0 2 2
ppppr pssss 33 32 25
ppppr rppss 1 0 0
ppppr rpsss 0 0 1
ppppr rrrpr 0 0 1
ppppr rrrss 0 1 0
ppppr rrsss 6 6 1
ppppr rspsp 1 0 0
ppppr rspss 1 0 0
ppppr rsrps 0 1 0
ppppr rssps 0 0 2
ppppr rsssp 0 1 1
ppppr rsssr 0 0 1
ppppr rssss 15 24 23
ppppr spprr 1 0 0
ppppr spsss 4 1 0
ppppr srsss 0 1 1
ppppr sspsr 1 0 0
ppppr sspss 1 0 0
